player_id	last_name	first_name	team	position	total_games	total_score	average_score	price	breakeven	projected_score	projected_price	projected_price_change	active	
1	Arthars	Jesse	BRO	CTW	5	349	53	506000	59	53	501200	-4800	True	
2	Baker	Fletcher	BRO	FRF	0	0	0	355700	37	30	355700	0	True	
3	Black	Coby	BRO	HFB	0	0	0	198800	20	20	198800	0	True	
4	Bryce	Jett	BRO	2RF	0	0	0	198800	20	20	198800	0	True	
5	Bukowski	Cameron	BRO	HOK	0	0	0	198800	20	20	198800	0	True	
6	Carrigan	Patrick	BRO	2RF	5	323	59	616700	76	66	608600	-8100	True	
7	Cobbo	Selwyn	BRO	CTW	5	275	44.3333	490100	45	43	488400	-1700	True	
8	Gosiewski	Jack	BRO	2RF	5	195	37	307000	16	41	327700	20700	True	
9	Haas	Payne	BRO	FRF	5	476	91	854200	130	94	824700	-29500	True	
10	Hetherington	Kobe	BRO	2RF	5	210	38.6667	356700	32	44	366500	9800	True	
11	Hoeter	Delouise	BRO	CTW	0	0	0	232600	24	45	232600	0	True	
12	Hunt	Ben	BRO	5/8	5	257	40.6667	502000	66	52	490800	-11200	True	
13	Hunt	Jaiyden	BRO	2RF	1	22	22	242800	28	21	242800	0	True	
14	Jensen	Corey	BRO	FRF	5	196	41	450800	58	36	432900	-17900	True	
15	Leota	Israel	BRO	CTW	0	0	0	198800	20	20	198800	0	True	
16	Madden	Jock	BRO	HFB	0	0	0	467900	48	30	467900	0	True	
17	Mam	Ezra	BRO	5/8	0	0	0	494600	51	64	494600	0	True	
18	Mariner	Deine	BRO	CTW	3	178	59.3333	539800	44	39	535500	-4300	True	
19	Mozer	Blake	BRO	HOK	0	0	0	312000	32	29	312000	0	True	
20	Paix	Cory	BRO	HOK	5	254	53	378700	1	44	413900	35200	True	
21	Perham	Hayze	BRO	CTW	0	0	0	294600	30	33	294600	0	True	
22	Piakura	Brendan	BRO	2RF	5	69	19.6667	267900	52	13	236500	-31400	True	
23	Reynolds	Adam	BRO	HFB	5	378	68	641200	114	59	596800	-44400	True	
24	Riki	Jordan	BRO	2RF	4	251	61.6667	522800	45	60	535000	12200	True	
25	Rogers	Josh	BRO	5/8	0	0	0	390600	40	45	390600	0	True	
26	Semu	VJ	BRO	FRF	0	0	0	198800	20	20	198800	0	True	
27	Smoothy	Tyson	BRO	HOK	0	0	0	369300	38	43	369300	0	True	
28	Staggs	Kotoni	BRO	CTW	2	102	51	514200	56	96	546500	32300	True	
29	Taupau	Martin	BRO	FRF	0	0	0	353900	36	29	353900	0	True	
30	Te Kura	Benjamin	BRO	FRF	0	0	0	232600	24	29	232600	0	True	
31	Trew	Bailey	BRO	FLB	0	0	0	198800	20	20	198800	0	True	
32	Walsh	Reece	BRO	FLB	5	281	59	598600	62	51	589300	-9300	True	
