player_id	last_name	first_name	team	position	total_games	total_score	average_score	price	breakeven	projected_score	projected_price	projected_price_change	active	
75	Fogarty	Jamal	CBR	HFB	3	176	58.6667	542400	45	53	549100	6700	True	
76	Guler	Emre	STG	FRF	2	103	51.5	331900	1	38	362000	30100	True	
77	Harawira-Naera	Corey	CBR	2RF	0	0	0	232600	24	36	232600	0	True	
78	Hopoate	Albert	CBR	CTW	1	25	25	454600	71	47	454600	0	True	
79	Horsburgh	Corey	CBR	2RF	3	203	67.6667	429900	-7	49	475700	45800	True	
80	Hosking	Zac	CBR	2RF	2	121	60.5	513900	40	50	522100	8200	True	
81	Kris	Sebastian	CBR	CTW	3	196	65.3333	461800	35	50	474400	12600	True	
82	Levi	Danny	CBR	HOK	0	0	0	322100	34	28	322100	0	True	
83	Mariota	Ata	CBR	FRF	3	83	27.6667	346500	51	28	327500	-19000	True	
84	Martin	Jordan	CBR	2RF	0	0	0	232600	24	17	232600	0	True	
85	Martin	Myles	CBR	FRF	0	0	0	198800	21	20	198800	0	True	
86	Martin	Noah	CBR	2RF	0	0	0	198800	21	20	198800	0	True	
87	Mooney	Trey	CBR	2RF	1	89	89	317500	-22	33	317500	0	True	
88	Nicholson	Matty	CBR	2RF	2	147	73.5	336000	-42	50	410500	74500	True	
89	Packer	Shaun	CBR	HOK	0	0	0	198800	21	20	198800	0	True	
90	Papalii	Josh	CBR	FRF	3	169	56.3333	465400	25	42	479500	14100	True	
91	Pattie	Owen	CBR	HOK	3	71	23.6667	205900	14	23	212900	7000	True	
92	Patuki-Case	Vena	CBR	FRF	0	0	0	198800	21	20	198800	0	True	
93	Roddy	Joe	CBR	2RF	0	0	0	198800	21	20	198800	0	True	
94	Sanders	Ethan	CBR	HFB	0	0	0	244700	26	45	244700	0	True	
95	Sasagi	Simi	CBR	2RF	3	66	22	334000	53	25	311700	-22300	True	
96	Saulo	Pasami	CBR	2RF	0	0	0	316900	33	35	316900	0	True	
97	Savage	Xavier	CBR	CTW	2	133	66.5	428300	1	47	465600	37300	True	
98	Smithies	Morgan	CBR	2RF	3	102	34	431200	92	39	388200	-43000	True	
99	Starling	Tom	CBR	HOK	3	219	73	433300	-20	67	504200	70900	True	
100	Stewart	Chevy	CBR	FLB	0	0	0	232600	24	26	232600	0	True	
101	Strange	Ethan	CBR	5/8	3	124	41.3333	462400	110	40	405900	-56500	True	
102	Taateo	Peter	CBR	FRF	0	0	0	198800	21	20	198800	0	True	
103	Tamale	Savelio	CBR	CTW	3	158	52.6667	301700	9	45	330600	28900	True	
104	Tapine	Joseph	CBR	FRF	1	51	51	655100	87	53	655100	0	True	
105	Timoko	Matthew	CBR	CTW	3	200	66.6667	549100	55	48	543500	-5600	True	
106	Waitere	Manaia	CBR	FLB	0	0	0	198800	21	20	198800	0	True	
