player_id	last_name	first_name	team	position	total_games	total_score	average_score	price	breakeven	projected_score	projected_price	projected_price_change	active	
1	Arthars	Jesse	BRO	CTW	4	289	65	502700	56	64	509100	6400	True	
2	Baker	Fletcher	BRO	FRF	0	0	0	355700	37	27	355700	0	True	
3	Black	Coby	BRO	HFB	0	0	0	198800	20	20	198800	0	True	
4	Bryce	Jett	BRO	2RF	0	0	0	198800	20	20	198800	0	True	
5	Bukowski	Cameron	BRO	HOK	0	0	0	198800	20	20	198800	0	True	
6	Carrigan	Patrick	BRO	2RF	4	271	59.3333	630800	70	56	619700	-11100	True	
7	Cobbo	Selwyn	BRO	CTW	4	207	40.6667	509700	92	48	473600	-36100	True	
8	Gosiewski	Jack	BRO	2RF	4	175	36.3333	289200	-2	34	318300	29100	True	
9	Haas	Payne	BRO	FRF	4	425	107	843600	38	105	897900	54300	True	
10	Hetherington	Kobe	BRO	2RF	4	154	33	350100	48	34	338700	-11400	True	
11	Hoeter	Delouise	BRO	CTW	0	0	0	232600	24	39	232600	0	True	
12	Hunt	Ben	BRO	5/8	4	202	40.3333	537600	99	54	501000	-36600	True	
13	Hunt	Jaiyden	BRO	2RF	0	0	0	242800	25	33	242800	0	True	
14	Jensen	Corey	BRO	FRF	4	165	44	468100	53	44	461200	-6900	True	
15	Leota	Israel	BRO	CTW	0	0	0	198800	20	20	198800	0	True	
16	Madden	Jock	BRO	HFB	0	0	0	467900	48	39	467900	0	True	
17	Mam	Ezra	BRO	5/8	0	0	0	494600	51	44	494600	0	True	
18	Mariner	Deine	BRO	CTW	3	178	59.3333	539800	45	57	549900	10100	True	
19	Mozer	Blake	BRO	HOK	0	0	0	312000	32	32	312000	0	True	
20	Paix	Cory	BRO	HOK	4	202	48.6667	332600	-4	38	367000	34400	True	
21	Perham	Hayze	BRO	CTW	0	0	0	294600	30	31	294600	0	True	
22	Piakura	Brendan	BRO	2RF	4	45	18.6667	293500	56	19	263700	-29800	True	
23	Reynolds	Adam	BRO	HFB	4	321	72	634200	49	82	661300	27100	True	
24	Riki	Jordan	BRO	2RF	4	251	61.6667	522800	45	82	552600	29800	True	
25	Rogers	Josh	BRO	5/8	0	0	0	390600	40	45	390600	0	True	
26	Semu	VJ	BRO	FRF	0	0	0	198800	20	20	198800	0	True	
27	Smoothy	Tyson	BRO	HOK	0	0	0	369300	38	39	369300	0	True	
28	Staggs	Kotoni	BRO	CTW	1	68	68	514200	38	69	514200	0	True	
29	Taupau	Martin	BRO	FRF	0	0	0	353900	36	35	353900	0	True	
30	Te Kura	Benjamin	BRO	FRF	0	0	0	232600	24	29	232600	0	True	
31	Trew	Bailey	BRO	FLB	0	0	0	198800	20	20	198800	0	True	
32	Walsh	Reece	BRO	FLB	4	215	40	606700	76	62	595100	-11600	True	
33	Walters	Billy	BRO	HOK	4	111	22	320100	56	42	308800	-11300	True	
