player_id	last_name	first_name	previous_games	previous_average	previous_total	active	team	breakeven	price	position	
90	Papalii	Josh	23	44.96	1034	True	CBR	25	465400	FRF	
91	Pattie	Owen	0	0	0	True	CBR	14	205900	HOK	
92	Patuki-Case	Vena	0	0	0	True	CBR	21	198800	FRF	
93	Roddy	Joe	0	0	0	True	CBR	21	198800	2RF	
94	Sanders	Ethan	2	50	100	True	CBR	26	244700	HFB	
95	Sasagi	Simi	10	38.4	384	True	CBR	53	334000	2RF	
96	Saulo	Pasami	8	32.38	259	True	CBR	33	316900	2RF	
97	Savage	Xavier	24	43.75	1050	True	CBR	1	428300	CTW	
98	Smithies	Morgan	24	47.71	1145	True	CBR	92	431200	2RF	
99	Starling	Tom	23	35	805	True	CBR	-20	433300	HOK	
100	Stewart	Chevy	3	26	78	True	CBR	24	232600	FLB	
101	Strange	Ethan	21	49.52	1040	True	CBR	110	462400	5/8	
102	Taateo	Peter	0	0	0	True	CBR	21	198800	FRF	
103	Tamale	Savelio	1	35	35	True	CBR	9	301700	CTW	
104	Tapine	Joseph	24	66.92	1606	True	CBR	87	655100	FRF	
105	Timoko	Matthew	24	52.96	1271	True	CBR	55	549100	CTW	
106	Waitere	Manaia	0	0	0	True	CBR	21	198800	FLB	
107	Weekes	Kaeo	17	54.24	922	True	CBR	84	475600	FLB	
108	Young	Hudson	22	70	1540	True	CBR	79	682400	2RF	
109	Averillo	Jake	23	53.61	1233	True	DOL	74	491300	CTW	
110	Bostock	Jack	23	52.65	1211	True	DOL	53	515400	CTW	
111	Bromwich	Kenny	20	40.55	811	True	DOL	41	396900	2RF	
112	Donoghoe	Kurt	9	21.22	191	True	DOL	31	240000	HOK	
113	Farnworth	Herbie	20	74.4	1488	True	DOL	80	712100	CTW	
114	Feagai	Max	12	36.08	433	True	DOL	37	353200	CTW	
115	Finefeuiaki	Kulikefu	23	37.61	865	True	DOL	35	368200	2RF	
116	Flegler	Thomas	4	59	236	True	DOL	48	462000	FRF	
117	Fuller	Trai	11	64.73	712	True	DOL	66	633600	FLB	
118	Gilbert	Tom	0	0	0	True	DOL	54	472900	2RF	
119	Graham	Harrison	0	0	0	True	DOL	24	232600	HOK	
120	Isaako	Jamayne	24	63	1512	True	DOL	117	594000	CTW	
121	Jackson	Ryan	0	0	0	True	DOL	21	198800	FRF	
122	Katoa	Isaiya	22	39.91	878	True	DOL	-15	463600	HFB	
123	Kaufusi	Felise	18	42	756	True	DOL	60	383000	2RF	
124	Keeley	Oryn	6	31.17	187	True	DOL	45	274600	2RF	
125	Kerr	Josh	19	39.32	747	True	DOL	53	384900	FRF	
126	Lemuelu	Connelly	18	49.39	889	True	DOL	86	483500	2RF	
127	Marshall-King	Jeremy	17	56.71	964	True	DOL	81	528500	HOK	
128	Naufahu	Tevita	0	0	0	True	DOL	21	198800	CTW	
129	Nicholls	Mark	23	44.39	1021	True	DOL	60	434500	FRF	
130	Nikorima	Kodi	21	51.1	1073	True	DOL	87	500200	5/8	
131	O'Sullivan	Sean	10	24.6	246	True	DOL	6	240800	HFB	
132	Plath	Max	21	63.1	1325	True	DOL	88	612500	2RF	
133	Rasmussen	Elijah	0	0	0	True	DOL	21	198800	CTW	
134	Saifiti	Daniel	22	43.91	966	True	DOL	20	462700	FRF	
135	Stone	Ray	22	38.27	842	True	DOL	41	359100	2RF	
136	Symonds	Lewis	0	0	0	True	DOL	21	198800	2RF	
137	Tabuai-Fidow	Hamiso	16	66.75	1068	True	DOL	134	594600	FLB	
138	Tawha	Aublix	0	0	0	True	DOL	21	198800	CTW	
139	Teague	Mason	1	8	8	True	DOL	24	232600	2RF	
140	Tupou	Junior	8	39	312	True	DOL	57	381800	CTW	
141	Walsh	James	0	0	0	True	DOL	21	198800	2RF	
142	Waqa	Michael	0	0	0	True	DOL	21	198800	FRF	
143	Alick-Wiencke	Jacob	6	33.5	201	True	GCT	31	295100	2RF	
144	Brimson	Alexander	13	55.08	716	True	GCT	105	539200	5/8	
145	Campbell	Jayden	15	71.53	1073	True	GCT	56	700200	5/8	
146	Campbell-Gillard	Reagan	24	50.63	1215	True	GCT	93	495600	FRF	
147	de Groot	Jaylan	1	47	47	True	GCT	24	232600	CTW	
148	Fa'asuamaleaui	Iszac	1	10	10	True	GCT	43	232600	FRF	
149	Fa'asuamaleaui	Tino	2	47	94	True	GCT	-4	531300	2RF	
150	Fermor	Beau	22	60.59	1333	True	GCT	38	593100	2RF	
151	Fifita	David	20	76.55	1531	True	GCT	146	749400	2RF	
152	Fifita	Jojo	19	49.79	946	True	GCT	43	487400	CTW	
153	Foran	Kieran	21	47.14	990	True	GCT	48	461500	5/8	
154	Foran	Ryan	0	0	0	True	GCT	21	198800	2RF	
155	Fotuaika	Moeaki	20	47.4	948	True	GCT	53	464000	FRF	
156	Francis	Tony	2	22.5	45	True	GCT	35	232600	CTW	
157	Gordon	Carter	0	0	0	True	GCT	35	336000	CTW	
158	Haas	Klese	22	41.32	909	True	GCT	49	404500	2RF	
159	Harrison	Zane	0	0	0	True	GCT	21	198800	HFB	
160	Hau	Arama	1	20	20	True	GCT	24	232600	FRF	
161	Jolliffe	Jaimin	16	49.31	789	True	GCT	70	482700	FRF	
162	Kelly	Brian	23	60.04	1381	True	GCT	77	587800	CTW	
163	Khan-Pereira	Alofiana	21	51.95	1091	True	GCT	36	508600	CTW	
164	Kini	Keano	16	72.31	1157	True	GCT	92	707900	FLB	
165	Liyou	Ben	0	0	0	True	GCT	21	198800	FRF	
166	Maumalo	Ken	0	0	0	True	GCT	22	214000	CTW	
167	Pahulu	Josiah	19	25.95	493	True	GCT	26	254000	FRF	
168	Randall	Chris	24	52.13	1251	True	GCT	101	510300	HOK	
169	Sami	Phillip	13	59.77	777	True	GCT	77	585100	CTW	
170	Simpkins	Tukimihia	0	0	0	True	GCT	21	198800	2RF	
171	Smith-Shields	Harley	5	32	160	True	GCT	26	250600	CTW	
172	Stephenson	Sam	0	0	0	True	GCT	21	198800	CTW	
173	Verrills	Sam	24	42.54	1021	True	GCT	14	416400	HOK	
